,,,,,,,,,,,,,,,
,,SIGUIENTE Ajuste,,,,,,,," Seleccionamos la primera partición disponible, recorriendo desde el inicio de la  memoria, cuyo tamaño sea suficiente para el proceso. ",,,,,
,,PARTICIONES DE TAMAÑO VARIABLE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,RAM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Microprocesador,,1 MB,"P1/0,5KB res","P1/P2/0,4MB res","P1/P2/0,4MB res","P1/0,5KB res",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"0,4 MB",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"1,8 MB",,,P3/0.9 RES,P3/0.9 RES,P3/0.9 RES,P3/0.9 RES,,,,,,,
,,,,,,,,,,,,Fragmentación Externa,,,
,,,,,,,,,,,,NO,,,"En Particiones de Tamaño Variable:
       - No Existe Fragmentación Interna
       - Sí Existe Fragmentación Externa"
,,,,,,,,,,,,,,,
,,"0,7 MB",,,,"P4/0,3 RES","P4/0,3 RES","P4/0,3 RES",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"0,9 MB",,,,,P5,P5,,,,,,,
,,,,,,,,,,,,"2,9MB",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"1,2 MB",,,,,,"P6/0,5 RES",,,,4600KB,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"1,5 MB",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,P1,P2,P3,P4,P5,P6,,,,,,,
,,,"0,5","0,1","0,9","0,4","0,9","0,7",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Empieza,Empieza,Termina ,Empieza,Termina,Empieza,Empieza,,,,,,
,,,P1,P2,P1,P3,P2,P4,P5,,,,,,
,,,3 MB ,4MB,*****,5 MB,*****,1 MB,3 MB,,,,,,
